Diagram-ID,Image-Path,Category-of-Image,Modified-Alt-Text
1,/image1.png,Graphs,"Graph of exposure wavelength versus resolution range. Line is drawn from the G line to the immersion points, and then down to the EUV and DP (double patterning) line. The x-axis, marked as the resolution range (measured in nanometers), spans from 10,000 nm down to 1 nm, while the y-axis, denoting exposure wavelength (also measured in nanometers), ranges from 8 nm up to 800 nm. Over time, the industry has progressively shifted from the G Line at approximately 436 nm, through i-Line at 365 nm, to various forms of deep ultraviolet (DUV) lithography. Immersive and dry techniques utilizing KrF (248 nm) and ArF (193 nm) wavelengths have pushed the boundaries of minimum feature size downwards. As these methods approached their limits, immersion lithography emerged around these wavelengths, further enhancing resolution by changing the medium between the lens and wafer to water, consequently increasing the effective numerical aperture. A compelling deviation occurs when the graph dives steeply towards the left as it transitions from ArF immersion to extreme ultraviolet (EUV) lithography, which employs a significantly lower wavelength of 13.5 nm. However, moving into the EUV regime demanded overcoming extensive technical hurdles related to light source power, optical system precision, photoresist sensitivity, and mask defectivity. Numerical aperture indicates how tightly the optics can focus light."
2,/image2.png,Waves/Fields,"The electromagnetic spectrum is depicted, showing the range of electromagnetic waves from long-wavelength, low-frequency radio waves to short-wavelength, high-frequency gamma rays, with a visible light region highlighted in the center. Both axes are logarithmically scaled to accommodate the broad range from long waves with frequencies around 10^3 Hz and wavelengths upwards of 10^6 meters, to gamma rays with frequencies as high as 10^24 Hz and wavelengths down to 10^-15 meters. Within this framework, various bands are identified, including radio waves (long waves and AM (amplitude modulation)/FM/TV), microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. Analyzing the interactions, the inverse relationship between wavelength and frequency is crucial for understanding electromagnetic wave behaviors. For instance, long radio waves possess lower frequencies and correspondingly larger wavelengths, facilitating long-distance communication by diffracting around obstacles. Conversely, gamma rays, characterized by extremely short wavelengths and high frequencies, are highly energetic and capable of penetrating most materials, making them useful in medical imaging yet hazardous due to their ionizing radiation. A peculiar observation within the spectrum is the relatively narrow band of visible light (approximately 4 x 10^14 to 8 x 10^14 Hz or 400 nm to 700 nm wavelength) that signifies the range perceivable by the human eye. This band, nestled within a minuscule fraction of the entire spectrum, stands out because of its biological significance and the way it demarcates the boundaries between non-ionizing and ionizing radiation."
3,/image3.png,Waves/Fields,"A detailed schematic representation of an Extreme Ultraviolet (EUV) Lithography Exposure System, illustrating its components and functionality. The diagram is segmented into various parts, clearly labeled to indicate their roles. It features a reflective mask, EUV source collector, and illuminator optics, all aligned to focus EUV radiation onto a silicon wafer, specifically stated to be 300 mm in diameter. The system operates using 13.5 nm radiation, which is crucial for achieving high-resolution patterns necessary for advanced semiconductor manufacturing. Key annotations highlight that the optics are entirely reflective and that the entire optical pathway functions within a vacuum environment to prevent interference and ensure accuracy. The organization of this exposure system emphasizes the integration of precise optics in lithography."
4,/image4.png,Graphs,"The graph displays the cumulative shift of pulsar-orbital time in seconds on the vertical axis against the year on the horizontal axis ranging from 1975 to 2005. The data points are marked with error bars and follow a smooth downward-curving line illustrating a trend of increasing negative cumulative shift over time. The line labeled General Relativity prediction"" closely follows the data points indicating consistency between observed orbital decay and theoretical predictions. The ""Line of zero orbital decay"" is displayed above the data points and prediction line delineating the lack of orbital decay. The primary finding is that the observed data aligns well with the General Relativity prediction reinforcing the theory's validity in describing the decay of orbits over time."""
5,/image5.png,Other,"Diagram shows five 2‑D crystal lattice (Bravais) types as unit cells with lattice vectors a1 and a2 and the angle γ between them. Each cell also marks its symmetry (mirror lines and rotation axes). Here, an “n‑fold rotation” means the pattern looks the same after a rotation of 360°/n. Oblique: a1 and a2 at an arbitrary angle (no right angles), with the least symmetry. Rectangular: a1 ⟂ a2 (right angles) with 2‑fold rotation symmetry. Centered rectangular: rectangular cell with an extra lattice point at the center, giving additional symmetry compared to simple rectangular. Square: equal sides with 4‑fold rotation symmetry (invariant under 90° turns). Hexagonal: a1 and a2 at 60°/120° with 6‑fold rotation symmetry."
6,/image6.png,Other,"The illustration presents varieties of crystal lattice structures: cubic body-centered (bcc (body-centered cubic)), cubic face-centered (fcc (face-centered cubic)), and hexagonal. Each structure is characterized by a distinct arrangement of atoms, represented by spheres, and the connecting lines indicate bonds within the lattice. The bcc structure features atoms at each corner of a cube and an additional atom at the center of the cube. This configuration, common in elements such as iron (Fe), vanadium (V), niobium (Nb), and chromium (Cr), allows for efficient packing density and significant metallic bonding interactions, particularly enhancing its structural strength. In contrast, the fcc structure places atoms at each cube corner and at the centers of each cube face, known for its close-packed nature. Metals such as aluminum (Al), nickel (Ni), silver (Ag), copper (Cu), and gold (Au) often crystallize in this form. The fcc structure provides even greater packing efficiency and is associated with superior ductility and conductivity, attributed to the dense atomic arrangement which allows atoms to slide past each other more easily under stress. The hexagonal lattice, depicted with atoms at each corner of the hexagonal base and additional ones inside the volume, is prevalent in materials like titanium (Ti), zinc (Zn), magnesium (Mg), and cadmium (Cd). This hexagonal close-packed (hcp) structure promotes a coordination number of twelve, emphasizing close atomic packing and resulting in high strength but less ductility compared to the fcc."
7,/image7.png,Mechanics (Forces & Motion),Two rays hitting different planes at the same angle. They arrive parallel and reflect parallel. The path difference is equal to 2 multiplied by D multiplied by sin(theta) where D is the distance between planes.
8,/image8.png,Waves/Fields,"The illustration depicts a conceptual representation of electromagnetic induction. At the center, a circular loop is shown, marked with a blue line that outlines its shape. Arrows pointing upward denote an increasing magnetic field, labeled as 𝐵(𝑡), suggesting a change over time. A small positive and negative sign indicates electrical polarity, while a zigzag line represents a resistor connected to the loop. An arrow on one side illustrates the direction of induced current, labeled 𝐼, which flows in response to the changing magnetic field, and another arrow indicates the resultant induced magnetic field 𝐵."
9,/image9.png,Waves/Fields,"The diagram illustrates a fundamental concept in electromagnetism, showcasing a magnetic field generated between a north (N) and a south (S) pole of a magnet, positioned adjacent to two conductive plates. The key elements include the orientation of the magnetic field lines that curve around the magnet, indicating the direction of magnetic flux, and the representation of the angle 𝜓, which signifies its relationship to the distance 𝑦 from the plates. The circuit connected to the magnet suggests a scenario where variations in the magnetic field could induce an electric current. The use of blue shading likely denotes areas of magnetic influence or the presence of a magnetic field, while the arrows imply the direction of force or flow. This configuration reveals the principles of electromagnetic induction, highlighting how changes in magnetic fields can affect electrically conductive materials."
10,/image10.png,Waves/Fields,"The diagram illustrates the principles of electromagnetic force acting on a current-carrying conductor within a magnetic field. Key elements include a resistor labeled 'R,' a current 'I' flowing through the conductor indicated by an arrow, and a magnetic field 'B' represented with circles and crosses indicating field direction. Axes are marked along the horizontal (x) and vertical (y) dimensions, with relevant symbols showing the flow of current and the resulting magnetic force 'F_m' acting on the conductor. The interrelationship between current and magnetic fields is emphasized, highlighting the dynamics of forces involved when a conductor moves with velocity 'u' in the magnetic field. This representation elucidates the foundational concept of electromagnetism, demonstrating how electric currents interact with magnetic fields to produce motion."
11,/image11.png,Waves/Fields,"The diagram illustrates a magnetic circuit comprising a loop with defined parameters, including a conductive coil and associated currents. The central element is a circular loop with winding numbers 𝑁1 and 𝑁2 labeled on opposite sides, indicating the coil turns connected to voltage sources 𝑉1 and 𝑉2. The radius of the loop is marked as 𝑟𝑜=10cm. An arrow within the loop indicates the direction of current 𝑖1(𝑡), suggesting the variable nature of the current over time. The diagram helps to analyze electromagnetic behavior, facilitating calculations of magnetic fields, inductance, and related phenomena in circuits. Key elements like the coil's orientation and current direction reveal potential trends in magnetic flux and illustrate the relationships governing electromagnetic theory."
12,/image12.png,Waves/Fields,"The diagram illustrates a magnetic circuit comprising a loop with defined parameters, including a conductive coil and associated currents. The central element is a circular loop with winding numbers 𝑁1 and 𝑁2 labeled on opposite sides, indicating the coil turns connected to voltage sources 𝑉1 and 𝑉2. The radius of the loop is marked as 𝑟𝑜=10cm. An arrow within the loop indicates the direction of current 𝑖1(𝑡), suggesting the variable nature of the current over time. The diagram helps to analyze electromagnetic behavior, facilitating calculations of magnetic fields, inductance, and related phenomena in circuits. Key elements like the coil's orientation and current direction reveal potential trends in magnetic flux and illustrate the relationships governing electromagnetic theory."
